EU AI Act Article,Statutory Requirement Summary,Internal Control ID & Title,Primary Technical / GRC Evidence Artifact,Identified Compliance Gap,Remediation Action Plan,Lead Owner,Compliance Status
Article 9,Risk Management System,`CTL-AI-01`: Iterative AI Risk Assessment,`risk/ai-risk-register.md` & `risk-treatment-plan.md`,Initial risk assessment lacked explicit prompt injection evaluation.,Conducted adversarial security audit (AIR-003).,AI GRC Lead,COMPLIANT
Article 10,Data Governance & Data Quality,`CTL-AI-02`: Proxy Feature Masking & Quality Audits,`data-governance/data-governance.md`,Graduation year & university name acted as age/prestige proxies.,Implemented proxy masking & Spacy NER stripping.,Fairness Auditor,COMPLIANT
Article 10,Bias Detection & Correction,`CTL-AI-03`: Fairlearn Demographic Parity Calibration,`testing/fairness-testing.md`,Pre-mitigation DIR for age 45+ was 0.679 (failed 0.80 floor).,Applied Fairlearn re-weighting; post DIR improved to 0.823.,Fairness Auditor,COMPLIANT (Gate 1)
Article 11,Technical Documentation (Annex IV),`CTL-AI-04`: Annex IV Governance Binder & Model Card,`model-governance/model-governance.md`,Technical documentation was scattered across separate Git repos.,Consolidated Annex IV documentation binder in QMS.,MLOps Lead,COMPLIANT (Gate 4)
Article 12,Automatic Operational Logging,`CTL-AI-05`: CloudWatch & WORM Event Logging,CloudWatch Log Group `aws/eks/talentmatch-audit`,Log retention was set to 90 days instead of statutory minimum.,Extended log retention to 12 months in immutable S3.,MLOps Lead,COMPLIANT
Article 13,Transparency & Instructions for Use,`CTL-AI-06`: Deployer Governance Manual & SHAP UI,`ai-system/intended-purpose.md` & SHAP Recruiter UI,Recruiter UI lacked visual feature impact breakdown.,Integrated SHAP feature importance visualizer in console.,Product Manager,COMPLIANT
Article 14,Human Oversight Mechanisms,`CTL-AI-07`: Anti-Automation UI Lock & Blind Scoring,`human-oversight/human-oversight.md`,Recruiters spent 45s per CV (automation rubber-stamping).,Deployed 2-min UI review lock & blind skill evaluation.,AI GRC Lead,COMPLIANT (Gate 2)
Article 15,Accuracy & Robustness,`CTL-AI-08`: Empirical Model Validation,`testing/performance-testing.md`,Accuracy dropped 1.5% during bias calibration.,Formally accepted trade-off ($0.765$ acc for $0.823+$ DIR).,Head of AI Eng,COMPLIANT
Article 15,Cybersecurity Resilience,`CTL-AI-09`: CV Text Sanitizer & Prompt Strip,`cybersecurity/cybersecurity.md`,Vulnerable to white-font prompt injection in PDF resumes.,Deployed PyMuPDF text sanitizer pre-parser.,MLOps Lead,COMPLIANT (Gate 3)
Article 26,Deployer Obligations & SLA Controls,`CTL-AI-10`: Deployer SLA Addendum & FRIA Toolkit,`ai-system/roles.md` & EU AI Act SLA Addendum,Deployers lacked standardized FRIA guidance.,Issued FRIA toolkit & contractually banned auto-rejection.,Legal Counsel,COMPLIANT (Gate 5)
Article 72,Post-Market Monitoring System,`CTL-AI-11`: Post-Market Monitoring Plan,`monitoring/post-market-monitoring.md`,Drift monitoring relied on manual monthly exports.,Automated embedding drift alert pipeline in Datadog.,MLOps Lead,COMPLIANT
Article 73,Serious Incident Reporting,`CTL-AI-12`: 15-Day Regulator Incident Playbook,`incident-management/incident-reporting.md`,Incident response plan lacked statutory 15-day reporting template.,Authored AI Incident Escalation Playbook.,AI GRC Lead,COMPLIANT
