Risk ID,Risk Category,Threat & Vulnerability Description,Affected Fundamental Right / Safety,Inherent L (1-5),Inherent I (1-5),Inherent Score,Addressing Controls,Resid L (1-5),Resid I (1-5),Residual Score,Residual Level
AIR-001,Algorithmic Bias,"Historical CV training data bias penalizing female applicants, older candidates 45+, and non-Western names.",Right to Non-Discrimination (EU Charter Art 21),4,5,20 (Critical),"Fairlearn re-weighting, proxy masking, sub-group DIR monitoring.",2,3,6 (Medium),Managed
AIR-002,Automation Bias,Recruiters blindly approving top 5 AI candidate recommendations without meaningful human review (45-sec rubber-stamping).,Right to Fair Work Conditions (EU Charter Art 31),5,4,20 (Critical),"Mandatory 2-min UI review lock, blind initial scoring, override logging.",2,3,6 (Medium),Managed
AIR-003,Cybersecurity,White-font prompt injection in candidate PDF resumes manipulating BERT/XGBoost ranking scores.,System Robustness & Integrity (AI Act Art 15),4,4,16 (High),"PyMuPDF text sanitizer pre-parser, font-color filter, prompt strip rules.",1,3,3 (Low),Acceptable
AIR-004,Concept Drift,Shift in job market skill terminology over time degrading semantic matching precision.,System Accuracy (AI Act Art 15),3,4,12 (High),"Monthly vector embedding drift monitoring, automated performance retraining trigger.",1,3,3 (Low),Acceptable
AIR-005,Privacy Leakage,Extraction of sensitive candidate PII from fine-tuned BERT embeddings via membership inference attacks.,Right to Protection of Personal Data (EU Charter Art 8),3,4,12 (High),"Differential privacy in fine-tuning, embedding vector anonymization.",1,3,3 (Low),Acceptable
AIR-006,Deployer Misuse,Deployers setting system to execute fully automated candidate rejection emails without human review.,Right to Good Administration (EU Charter Art 41),4,5,20 (Critical),"Contractual ban, ATS API hard blocks preventing automated rejection triggers.",1,4,4 (Low),Acceptable
AIR-007,Explainability Failure,Inability to provide clear rationale for candidate match score during regulatory audit or candidate appeal.,Transparency & Right to Explanation (Art 13 & GDPR Art 22),4,4,16 (High),"SHAP feature impact visualization, candidate-facing score breakdown portal.",2,2,4 (Low),Acceptable
AIR-008,System Outage,AWS cloud service outage disabling screening engine during major enterprise hiring campaigns.,Operational Continuity,2,4,8 (Medium),"Multi-region AWS deployment (`eu-west-1` & `eu-central-1`), fallback parsing.",1,3,3 (Low),Acceptable
AIR-009,Third-Party API Failure,Upstream LLM tokenization API deprecation or breaking change causing parsing errors.,Technical Robustness,3,3,9 (Medium),"Local containerized BERT models, zero external API runtime dependencies.",1,2,2 (Low),Acceptable
AIR-010,Data Poisoning,Malicious candidate submitters uploading adversarial CVs designed to skew vector space clusters.,System Security & Robustness (Art 15),2,4,8 (Medium),"Input rate limiting, anomaly detection on vector cluster centroids.",1,2,2 (Low),Acceptable
